Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Year,Mileage,Price,SellType,OfficeCityState
41542975,EncarMeetgo,EncarDiagnosisP1,KG모빌리티(쌍용),더 뉴 렉스턴 스포츠 칸,디젤 2.2 4WD,오토,디젤,202110.0,40992.0,2580.0,일반,부산
41945539,EncarMeetgo,EncarDiagnosisP1,현대,그랜저 하이브리드 (GN7),캘리그래피,오토,가솔린+전기,202402.0,63980.0,3880.0,일반,부산
41795739,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 (DN8),2.0,오토,가솔린,202104.0,125739.0,1400.0,일반,경기
41777799,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,202203.0,81472.0,2020.0,일반,서울
41795737,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,202203.0,37407.0,3230.0,일반,경기
41950185,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 (DN8),2.0,오토,가솔린,202206.0,99826.0,1490.0,일반,경기
41795735,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 코나,가솔린 2.0 2WD,오토,가솔린,202203.0,73111.0,1740.0,일반,경기
41693138,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,202202.0,88873.0,2440.0,일반,서울
41658234,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,202201.0,134452.0,2440.0,일반,서울
41621435,EncarMeetgo,EncarDiagnosisP1,현대,싼타페 (MX5),가솔린 2.5T 2WD,오토,가솔린,202310.0,58491.0,2660.0,일반,서울
41693130,EncarMeetgo,EncarDiagnosisP1,기아,쏘렌토 4세대,가솔린 2.5T 2WD,오토,가솔린,202202.0,20043.0,2680.0,일반,서울
41944399,,EncarDiagnosisP1,현대,그랜저 하이브리드 (GN7),캘리그래피,오토,가솔린+전기,202402.0,63980.0,3880.0,일반,부산
41541508,,EncarDiagnosisP1,KG모빌리티(쌍용),더 뉴 렉스턴 스포츠 칸,디젤 2.2 4WD,오토,디젤,202110.0,40992.0,2580.0,일반,부산
41897451,EncarMeetgo,EncarDiagnosisP0,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,202108.0,131835.0,3090.0,일반,부산
41897465,EncarMeetgo,EncarDiagnosisP0,쉐보레(GM대우),더 뉴 트랙스,1.4 퍼펙트 블랙,오토,가솔린,201907.0,50933.0,1120.0,일반,부산
41891102,,,쉐보레(GM대우),트레일블레이저,1.3 터보 2WD,오토,가솔린,202003.0,88022.0,1580.0,일반,대전
41873894,,EncarDiagnosisP0,현대,그랜저 IG,3.0 LPI 택시형,오토,LPG(일반인 구입),201901.0,251092.0,770.0,일반,인천
41790481,,EncarDiagnosisP1,현대,더 뉴 코나,가솔린 2.0 2WD,오토,가솔린,202203.0,73111.0,1740.0,일반,경기
41790663,,EncarDiagnosisP1,현대,쏘나타 (DN8),2.0,오토,가솔린,202104.0,125739.0,1400.0,일반,경기
41656484,,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,202201.0,134452.0,2440.0,일반,서울
41619255,,EncarDiagnosisP1,현대,싼타페 (MX5),가솔린 2.5T 2WD,오토,가솔린,202310.0,58491.0,2660.0,일반,서울
41948558,,EncarDiagnosisP1,현대,쏘나타 (DN8),2.0,오토,가솔린,202206.0,99826.0,1490.0,일반,경기
41692888,,EncarDiagnosisP1,기아,쏘렌토 4세대,가솔린 2.5T 2WD,오토,가솔린,202202.0,20043.0,2680.0,일반,서울
41690332,,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,202202.0,88873.0,2440.0,일반,서울
41773220,,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,202203.0,81472.0,2020.0,일반,서울
