Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Year,Mileage,Price,SellType,OfficeCityState
41597276,EncarMeetgo,EncarDiagnosisP2,기아,더 뉴 기아 레이,시그니처,오토,가솔린,202405.0,18204.0,1730.0,일반,서울
41346759,EncarMeetgo,EncarDiagnosisP2,기아,올 뉴 카니발,가솔린 7인승 리무진,오토,가솔린,201610.0,124412.0,1250.0,일반,서울
41706678,EncarMeetgo,EncarDiagnosisP2,현대,팰리세이드 (LX3),가솔린 2.5T 4WD 9인승,오토,가솔린,202503.0,10446.0,6130.0,일반,서울
41894967,EncarMeetgo,EncarDiagnosisP2,KG모빌리티(쌍용),코란도 스포츠,CX7 4WD,오토,디젤,201505.0,155039.0,670.0,일반,서울
41576364,EncarMeetgo,EncarDiagnosisP2,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,202501.0,9454.0,7130.0,일반,서울
41700470,EncarMeetgo,EncarDiagnosisP1,기아,K5 하이브리드 3세대,트렌디,오토,가솔린+전기,202302.0,118996.0,1640.0,일반,서울
41891685,EncarMeetgo,EncarDiagnosisP2,제네시스,GV80,2.5T 가솔린 AWD,오토,가솔린,202212.0,32114.0,5690.0,일반,서울
41643039,EncarMeetgo,EncarDiagnosisP1,현대,투싼 (NX4),가솔린 1.6 터보 4WD,오토,가솔린,202305.0,75151.0,2760.0,일반,서울
41773400,EncarMeetgo,EncarDiagnosisP2,기아,쏘렌토 4세대,HEV 1.6 2WD,오토,가솔린+전기,202203.0,73799.0,2910.0,일반,경기
41390976,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,202201.0,75312.0,2610.0,일반,경기
41729142,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,202209.0,94971.0,2330.0,일반,경기
41107176,EncarMeetgo,EncarDiagnosisP1,제네시스,GV80,2.5T 가솔린 AWD,오토,가솔린,202404.0,34918.0,6940.0,일반,전북
41903648,EncarMeetgo,EncarDiagnosisP1,제네시스,G90 (RS4),가솔린 3.5 터보 AWD,오토,가솔린,202204.0,126442.0,5030.0,일반,경기
41911479,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,202205.0,51700.0,2700.0,일반,경기
41835882,EncarMeetgo,EncarDiagnosisP1,쉐보레(GM대우),더 뉴 말리부,2.0 터보 프리미어,오토,가솔린,202008.0,104482.0,1250.0,일반,서울
41785662,EncarMeetgo,EncarDiagnosisP1,현대,캐스퍼,터보 스마트,오토,가솔린,202310.0,58463.0,1280.0,일반,서울
41935282,EncarMeetgo,EncarDiagnosisP1,현대,LF 쏘나타,2.0 스마트,오토,가솔린,201511.0,107615.0,940.0,일반,서울
41792879,EncarMeetgo,EncarDiagnosisP1,현대,에쿠스(신형),VS380,오토,가솔린,201108.0,152654.0,599.0,일반,서울
41963434,EncarMeetgo,EncarDiagnosisP2,기아,더 뉴 셀토스,가솔린 1.6 터보 2WD,오토,가솔린,202503.0,12796.0,2799.0,일반,서울
41894964,,EncarDiagnosisP2,KG모빌리티(쌍용),코란도 스포츠,CX7 4WD,오토,디젤,201505.0,155039.0,670.0,일반,서울
41346755,,EncarDiagnosisP2,기아,올 뉴 카니발,가솔린 7인승 리무진,오토,가솔린,201610.0,124412.0,1250.0,일반,서울
41576363,,EncarDiagnosisP2,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,202501.0,9454.0,7130.0,일반,서울
41597274,,EncarDiagnosisP2,기아,더 뉴 기아 레이,시그니처,오토,가솔린,202405.0,18204.0,1730.0,일반,서울
41706677,,EncarDiagnosisP2,현대,팰리세이드 (LX3),가솔린 2.5T 4WD 9인승,오토,가솔린,202503.0,10446.0,6130.0,일반,서울
41546134,EncarMeetgo,EncarDiagnosisP1,쉐보레(GM대우),트레일블레이저,1.3 터보 2WD,오토,가솔린,202003.0,84175.0,1650.0,일반,광주
41501557,EncarMeetgo,EncarDiagnosisP1,현대,그랜저 (GN7),2.5 가솔린 2WD,오토,가솔린,202401.0,23621.0,3650.0,일반,서울
41501626,EncarMeetgo,EncarDiagnosisP1,기아,스포티지 5세대,가솔린 1.6 터보 4WD,오토,가솔린,202201.0,25320.0,3250.0,일반,서울
41802068,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 아반떼 (CN7),1.6,오토,가솔린,202303.0,41487.0,1900.0,일반,경기
41702812,EncarMeetgo,EncarDiagnosisP2,기아,셀토스,가솔린 1.6 터보 2WD,오토,가솔린,202203.0,60347.0,1810.0,일반,경기
41894389,EncarMeetgo,EncarDiagnosisP1,기아,K5 하이브리드 3세대,시그니처,오토,가솔린+전기,202207.0,34817.0,2560.0,일반,경기
41502642,EncarMeetgo,EncarDiagnosisP1,기아,쏘렌토 4세대,가솔린 2.5T 4WD,오토,가솔린,202211.0,41233.0,3680.0,일반,서울
41501217,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,202201.0,44856.0,2970.0,일반,서울
41919594,EncarMeetgo,EncarDiagnosisP1,제네시스,GV80,2.5T 가솔린 2WD,오토,가솔린,202303.0,29730.0,5370.0,일반,경기
41641168,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,202202.0,50669.0,2510.0,일반,서울
41501484,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,202201.0,78057.0,3460.0,일반,서울
41502919,EncarMeetgo,EncarDiagnosisP1,제네시스,GV80,2.5T 가솔린 2WD,오토,가솔린,202111.0,82597.0,4320.0,일반,서울
41928296,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 K9 2세대,3.8 GDI AWD,오토,가솔린,202207.0,110234.0,3090.0,일반,경기
41873015,EncarMeetgo,EncarDiagnosisP1,기아,디 올 뉴 니로,시그니처,오토,가솔린+전기,202206.0,40269.0,2600.0,일반,서울
41334577,EncarMeetgo,EncarDiagnosisP1,KG모빌리티(쌍용),티볼리 아머,기어 에디션 4WD,오토,가솔린,201712.0,75982.0,1240.0,일반,경기
41911400,EncarMeetgo,EncarDiagnosisP1,현대,싼타페 TM,가솔린 2.0T 2WD,오토,가솔린,201912.0,106424.0,1870.0,일반,경기
41873582,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,202305.0,50464.0,3380.0,일반,경기
41409058,EncarMeetgo,EncarDiagnosisP1,기아,스포티지 5세대,가솔린 1.6 터보 2WD,오토,가솔린,202406.0,32980.0,2770.0,일반,경기
41803991,EncarMeetgo,EncarDiagnosisP1,현대,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,오토,디젤,201406.0,138340.0,950.0,일반,경기
41970375,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜드 스타렉스,4WD 어반 9인승,오토,디젤,201901.0,57642.0,2380.0,일반,경기
41891604,,EncarDiagnosisP2,제네시스,GV80,2.5T 가솔린 AWD,오토,가솔린,202212.0,32114.0,5690.0,일반,서울
41797902,,,쉐보레(GM대우),스파크,팝 에디션,오토,가솔린,201501.0,63500.0,330.0,일반,서울
41773397,,EncarDiagnosisP2,기아,쏘렌토 4세대,HEV 1.6 2WD,오토,가솔린+전기,202203.0,73799.0,2910.0,일반,경기
41591924,,EncarDiagnosisP0,현대,아반떼 (CN7),1.6,오토,가솔린,202209.0,79837.0,1870.0,일반,서울
41591923,,EncarDiagnosisP0,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,202302.0,72741.0,2630.0,일반,서울
41390975,,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,202201.0,75312.0,2610.0,일반,경기
41347504,,,기아,올 뉴 프라이드,1.6 GDI 세단,오토,가솔린,201110.0,107426.0,340.0,일반,광주
41591925,,EncarDiagnosisP0,기아,스포티지 5세대,가솔린 1.6 터보 2WD,오토,가솔린,202202.0,53646.0,2320.0,일반,서울
41891604,,EncarDiagnosisP2,제네시스,GV80,2.5T 가솔린 AWD,오토,가솔린,202212.0,32114.0,5690.0,일반,서울
41797902,,,쉐보레(GM대우),스파크,팝 에디션,오토,가솔린,201501.0,63500.0,330.0,일반,서울
41637839,,EncarDiagnosisP1,현대,투싼 (NX4),가솔린 1.6 터보 4WD,오토,가솔린,202305.0,75151.0,2760.0,일반,서울
41591924,,EncarDiagnosisP0,현대,아반떼 (CN7),1.6,오토,가솔린,202209.0,79837.0,1870.0,일반,서울
41591923,,EncarDiagnosisP0,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,202302.0,72741.0,2630.0,일반,서울
41390975,,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,202201.0,75312.0,2610.0,일반,경기
41728143,,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,202209.0,94971.0,2330.0,일반,경기
41699100,,EncarDiagnosisP1,기아,K5 하이브리드 3세대,트렌디,오토,가솔린+전기,202302.0,118996.0,1640.0,일반,서울
41956406,,,기아,쏘렌토 4세대,HEV 1.6 2WD,오토,가솔린+전기,202104.0,83835.0,2740.0,일반,경기
41900471,,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,202205.0,51700.0,2700.0,일반,경기
41208504,,EncarDiagnosisP0,기아,카니발 4세대,가솔린 7인승 시그니처,오토,가솔린,202307.0,40427.0,3299.0,일반,서울
41246615,,EncarDiagnosisP0,제네시스,GV80,3.5T 가솔린 AWD,오토,가솔린,202512.0,480.0,7870.0,일반,서울
41935100,,EncarDiagnosisP1,현대,LF 쏘나타,2.0 스마트,오토,가솔린,201511.0,107615.0,940.0,일반,서울
41244768,,EncarDiagnosisP0,현대,아반떼 (CN7),2.0 N,오토,가솔린,202204.0,45495.0,2240.0,일반,서울
41963043,,EncarDiagnosisP2,기아,더 뉴 셀토스,가솔린 1.6 터보 2WD,오토,가솔린,202503.0,12796.0,2799.0,일반,서울
41237694,,,현대,에쿠스(신형),VS380,오토,가솔린,201107.0,229112.0,250.0,일반,서울
41697517,,,현대,캐스퍼,터보 스마트,오토,가솔린,202310.0,58456.0,1280.0,일반,서울
41783360,,EncarDiagnosisP1,현대,캐스퍼,터보 스마트,오토,가솔린,202310.0,58463.0,1280.0,일반,서울
41832700,,EncarDiagnosisP1,쉐보레(GM대우),더 뉴 말리부,2.0 터보 프리미어,오토,가솔린,202008.0,104482.0,1250.0,일반,서울
41440647,,,현대,싼타페 더 프라임,디젤 2.0 2WD,오토,디젤,201601.0,260637.0,680.0,일반,서울
41876715,,,현대,LF 쏘나타,2.0 스마트,오토,가솔린,201511.0,107607.0,940.0,일반,서울
41791951,,EncarDiagnosisP1,현대,에쿠스(신형),VS380,오토,가솔린,201108.0,152654.0,599.0,일반,서울
41542022,,EncarDiagnosisP1,쉐보레(GM대우),트레일블레이저,1.3 터보 2WD,오토,가솔린,202003.0,84175.0,1650.0,일반,광주
41498618,,EncarDiagnosisP1,제네시스,GV80,2.5T 가솔린 2WD,오토,가솔린,202111.0,82597.0,4320.0,일반,서울
41871437,,EncarDiagnosisP1,기아,디 올 뉴 니로,시그니처,오토,가솔린+전기,202206.0,40269.0,2600.0,일반,서울
41799431,,EncarDiagnosisP1,현대,더 뉴 아반떼 (CN7),1.6,오토,가솔린,202303.0,41487.0,1900.0,일반,경기
41915615,,EncarDiagnosisP1,기아,더 뉴 K9 2세대,3.8 GDI AWD,오토,가솔린,202207.0,110234.0,3090.0,일반,경기
41498623,,EncarDiagnosisP1,현대,그랜저 (GN7),2.5 가솔린 2WD,오토,가솔린,202401.0,23621.0,3650.0,일반,서울
41498624,,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,202201.0,78057.0,3460.0,일반,서울
41908003,,EncarDiagnosisP1,제네시스,GV80,2.5T 가솔린 2WD,오토,가솔린,202303.0,29730.0,5370.0,일반,경기
41498621,,EncarDiagnosisP1,기아,스포티지 5세대,가솔린 1.6 터보 4WD,오토,가솔린,202201.0,25320.0,3250.0,일반,서울
41498627,,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,202201.0,44856.0,2970.0,일반,서울
41637864,,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,202202.0,50669.0,2510.0,일반,서울
41620846,,,기아,K8 하이브리드,노블레스,오토,가솔린+전기,202201.0,46178.0,2800.0,일반,서울
41702810,,EncarDiagnosisP2,기아,셀토스,가솔린 1.6 터보 2WD,오토,가솔린,202203.0,60347.0,1810.0,일반,경기
41498629,,EncarDiagnosisP1,기아,쏘렌토 4세대,가솔린 2.5T 4WD,오토,가솔린,202211.0,41233.0,3680.0,일반,서울
41885072,,EncarDiagnosisP1,기아,K5 하이브리드 3세대,시그니처,오토,가솔린+전기,202207.0,34817.0,2560.0,일반,경기
41699931,,EncarDiagnosisP0,기아,더 뉴 셀토스,가솔린 1.6 터보 2WD,오토,가솔린,202411.0,26094.0,2350.0,일반,경기
41534228,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 하이브리드 (DN8),프리미엄 플러스,오토,가솔린+전기,202202.0,81979.0,1750.0,일반,경기
41501119,EncarMeetgo,EncarDiagnosisP1,기아,K8,3.5 가솔린 2WD,오토,가솔린,202201.0,70357.0,2430.0,일반,서울
41534267,EncarMeetgo,EncarDiagnosisP2,기아,쏘렌토 4세대,디젤 2.2 2WD,오토,디젤,202107.0,33522.0,2890.0,일반,경기
41507615,EncarMeetgo,EncarDiagnosisP1,제네시스,GV80,2.5T 가솔린 2WD,오토,가솔린,202204.0,35301.0,4930.0,일반,서울
41534250,EncarMeetgo,EncarDiagnosisP2,기아,카니발 4세대,가솔린 7인승 시그니처,오토,가솔린,202301.0,59204.0,3480.0,일반,경기
41508541,EncarMeetgo,EncarDiagnosisP1,현대,스타리아,라운지 9인승,오토,디젤,202307.0,65766.0,3110.0,일반,서울
41904477,EncarMeetgo,EncarDiagnosisP1,제네시스,GV70,2.5T 가솔린 2WD,오토,가솔린,202309.0,18569.0,4290.0,일반,경기
41500377,EncarMeetgo,EncarDiagnosisP1,기아,셀토스,가솔린 1.6 터보 2WD,오토,가솔린,202202.0,85308.0,2090.0,일반,서울
41926461,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,202203.0,25977.0,3230.0,일반,경기
41500250,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,202202.0,115780.0,2870.0,일반,서울
41501119,EncarMeetgo,EncarDiagnosisP1,기아,K8,3.5 가솔린 2WD,오토,가솔린,202201.0,70357.0,2430.0,일반,서울
41534250,EncarMeetgo,EncarDiagnosisP2,기아,카니발 4세대,가솔린 7인승 시그니처,오토,가솔린,202301.0,59204.0,3480.0,일반,경기
