Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Year,Mileage,Price,SellType,OfficeCityState
41529212,EncarMeetgo,EncarDiagnosisP1,기아,스포티지 5세대,디젤 2.0 2WD,오토,디젤,202111.0,116612.0,2349.0,일반,서울
40806591,EncarMeetgo,EncarDiagnosisP1,현대,그랜드 스타렉스,어린이보호차,오토,디젤,201410.0,141589.0,880.0,일반,경기
42093938,EncarMeetgo,EncarDiagnosisP1,기아,올 뉴 쏘렌토,디젤 2.0 2WD,오토,디젤,201412.0,141978.0,1090.0,일반,부산
41813678,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜드 스타렉스,밴 5인승,오토,디젤,201804.0,55137.0,1650.0,일반,서울
41495737,EncarMeetgo,EncarDiagnosisP0,현대,더 뉴 그랜저 IG,3.3,오토,가솔린,202003.0,142208.0,1549.0,일반,서울
41642195,EncarMeetgo,EncarDiagnosisP1,현대,싼타페 (MX5),HEV 1.6 2WD,오토,가솔린+전기,202410.0,17066.0,3650.0,일반,서울
42050477,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 4WD,오토,가솔린,202007.0,64395.0,2630.0,일반,서울
41954107,EncarMeetgo,EncarDiagnosisP0,제네시스,G80,3.3 GDI AWD,오토,가솔린,201805.0,79758.0,1850.0,일반,부산
41954109,EncarMeetgo,EncarDiagnosisP0,현대,더 뉴 팰리세이드,디젤 2.2 2WD,오토,디젤,202206.0,35416.0,3690.0,일반,부산
42027125,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 아반떼 하이브리드 (CN7),스마트,오토,가솔린+전기,202507.0,6041.0,2390.0,일반,서울
39394309,EncarMeetgo,EncarDiagnosisP0,제네시스,GV80,3.5T 가솔린 AWD,오토,가솔린,202312.0,44652.0,6890.0,일반,서울
41836240,EncarMeetgo,EncarDiagnosisP1,현대,투싼 하이브리드 (NX4),프리미엄 2WD,오토,가솔린+전기,202201.0,120302.0,2000.0,일반,서울
41919325,EncarMeetgo,EncarDiagnosisP1,현대,올 뉴 투싼,디젤 1.7 2WD,오토,디젤,201606.0,123328.0,929.0,일반,부산
41811055,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 시그니처,오토,가솔린,202211.0,51416.0,2979.0,일반,서울
41937803,EncarMeetgo,EncarDiagnosisP0,기아,스포티지 5세대,디젤 2.0 2WD,오토,디젤,202108.0,137958.0,1830.0,일반,부산
41953933,EncarMeetgo,EncarDiagnosisP0,르노코리아(삼성),더 뉴 QM6,2.0 LPe RE 시그니처 2WD,오토,LPG(일반인 구입),202112.0,51485.0,1750.0,일반,부산
41996372,EncarMeetgo,EncarDiagnosisP1,현대,스타리아,L3.5 카고 3인승,오토,LPG(일반인 구입),202206.0,48656.0,2590.0,일반,서울
42050081,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 (DN8),2.0 LPG(렌터카용),오토,LPG(일반인 구입),202110.0,69889.0,1590.0,일반,서울
42062538,EncarMeetgo,EncarDiagnosisP1,기아,쏘렌토 4세대,디젤 2.2 2WD,오토,디젤,202105.0,93467.0,2290.0,일반,서울
41878613,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,202204.0,41655.0,2700.0,일반,경기
42048738,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 쏘렌토 4세대,가솔린 2.5T 2WD,오토,가솔린,202405.0,97200.0,3290.0,일반,서울
41748981,EncarMeetgo,EncarDiagnosisP2,기아,셀토스,가솔린 1.6 터보 2WD,오토,가솔린,202202.0,30787.0,1720.0,일반,경기
41749879,EncarMeetgo,EncarDiagnosisP2,기아,쏘렌토 4세대,가솔린 2.5T 2WD,오토,가솔린,202304.0,73269.0,2850.0,일반,경기
42051921,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜저 IG 하이브리드,프리미엄,오토,가솔린+전기,202210.0,76499.0,2600.0,일반,서울
42051920,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 니로,1.6 HEV,오토,가솔린+전기,202106.0,102522.0,1550.0,일반,서울
41748313,EncarMeetgo,,기아,셀토스,가솔린 1.6 터보 2WD,오토,가솔린,202204.0,45147.0,2290.0,일반,경기
41554604,,,기아,K5 3세대,1.6 터보,오토,가솔린,202105.0,126575.0,1679.0,일반,서울
41810478,,EncarDiagnosisP1,현대,더 뉴 그랜드 스타렉스,밴 5인승,오토,디젤,201804.0,55137.0,1650.0,일반,서울
42041348,,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 4WD,오토,가솔린,202007.0,64395.0,2630.0,일반,서울
41815853,,EncarDiagnosisP0,기아,스포티지 5세대,디젤 2.0 2WD,오토,디젤,202108.0,137958.0,1830.0,일반,부산
41918667,,EncarDiagnosisP1,현대,올 뉴 투싼,디젤 1.7 2WD,오토,디젤,201606.0,123328.0,929.0,일반,부산
42038132,,,현대,그랜저 (GN7),2.5 가솔린 2WD,오토,가솔린,202305.0,42048.0,2990.0,일반,부산
42090917,,EncarDiagnosisP1,기아,올 뉴 쏘렌토,디젤 2.0 2WD,오토,디젤,201412.0,141978.0,1090.0,일반,부산
41826008,,EncarDiagnosisP0,르노코리아(삼성),더 뉴 QM6,2.0 LPe RE 시그니처 2WD,오토,LPG(일반인 구입),202112.0,51485.0,1750.0,일반,부산
41528594,,EncarDiagnosisP1,기아,스포티지 5세대,디젤 2.0 2WD,오토,디젤,202111.0,116612.0,2349.0,일반,서울
41494362,,EncarDiagnosisP0,현대,더 뉴 그랜저 IG,3.3,오토,가솔린,202003.0,142208.0,1549.0,일반,서울
39375757,,EncarDiagnosisP0,제네시스,GV80,3.5T 가솔린 AWD,오토,가솔린,202312.0,44652.0,6890.0,일반,서울
41800010,,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 시그니처,오토,가솔린,202211.0,51416.0,2979.0,일반,서울
41824867,,EncarDiagnosisP1,현대,투싼 하이브리드 (NX4),프리미엄 2WD,오토,가솔린+전기,202201.0,120302.0,2000.0,일반,서울
40804411,,EncarDiagnosisP1,현대,그랜드 스타렉스,어린이보호차,오토,디젤,201410.0,141589.0,880.0,일반,경기
