Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Mileage,Price,SellType,OfficeCityState,Model_Month,Vehicle_Age
41715897,EncarMeetgo,EncarDiagnosisP0,기아,Others,Others,오토,디젤,92502.0,670.0,일반,경기,9,15
41805259,EncarMeetgo,EncarDiagnosisP1,제네시스,Others,Others,오토,가솔린,111109.0,3199.0,일반,경기,1,7
41890557,EncarMeetgo,EncarDiagnosisP1,쉐보레(GM대우),트레일블레이저,1.3 터보 2WD,오토,가솔린,34942.0,1999.0,일반,경기,9,4
41579603,EncarMeetgo,EncarDiagnosisP1,기아,Others,Others,오토,가솔린,30214.0,2599.0,일반,경기,12,2
41930597,EncarMeetgo,EncarDiagnosisP1,기아,Others,프레스티지,오토,가솔린,24028.0,1599.0,일반,경기,8,3
41516178,EncarMeetgo,EncarDiagnosisP2,기아,카니발 4세대,Others,오토,가솔린,65253.0,3350.0,일반,경기,7,4
41877002,EncarMeetgo,EncarDiagnosisP1,기아,디 올 뉴 니로,프레스티지,오토,가솔린+전기,57864.0,2320.0,일반,경기,4,4
41835961,EncarMeetgo,EncarDiagnosisP1,현대,Others,인스퍼레이션,오토,가솔린+전기,41940.0,2170.0,일반,경기,3,3
41625692,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,Others,오토,디젤,66059.0,2520.0,일반,서울,2,4
41516884,EncarMeetgo,EncarDiagnosisP2,기아,쏘렌토 4세대,Others,오토,가솔린+전기,42380.0,3720.0,일반,경기,3,3
41918660,EncarMeetgo,EncarDiagnosisP1,제네시스,GV80,2.5T 가솔린 AWD,오토,가솔린,52695.0,4540.0,일반,경기,5,4
41518157,EncarMeetgo,EncarDiagnosisP2,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,64008.0,3120.0,일반,경기,3,4
41726267,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,Others,오토,가솔린,80313.0,2610.0,일반,경기,2,4
41642348,EncarMeetgo,EncarDiagnosisP1,현대,Others,1.6,오토,가솔린,133684.0,990.0,일반,광주,3,7
