Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Mileage,Price,SellType,OfficeCityState,Model_Month,Vehicle_Age
41594269,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 3.5 터보 AWD,오토,가솔린,56876.0,4480.0,일반,서울,1,3
41626513,EncarMeetgo,EncarDiagnosisP1,기아,Others,시그니처,오토,가솔린,21158.0,1499.0,일반,경기,3,3
41787015,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 기아 레이,시그니처,오토,가솔린,10209.0,1749.0,일반,경기,4,2
41943892,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 기아 레이,시그니처,오토,가솔린,5346.0,1919.0,일반,경기,3,1
41896582,EncarMeetgo,EncarDiagnosisP1,기아,Others,Others,오토,가솔린+전기,17558.0,2300.0,일반,경기,12,5
41805087,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 기아 레이,프레스티지,오토,가솔린,21621.0,1410.0,일반,서울,3,3
41805089,EncarMeetgo,EncarDiagnosisP1,현대,그랜저 (GN7),2.5 가솔린 2WD,오토,가솔린,46317.0,2890.0,일반,서울,1,3
41815871,EncarMeetgo,EncarDiagnosisP1,기아,K5 하이브리드 3세대,시그니처,오토,가솔린+전기,75603.0,2430.0,일반,서울,7,3
41871586,EncarMeetgo,EncarDiagnosisP1,기아,스포티지 5세대 하이브리드,Others,오토,가솔린+전기,67352.0,2600.0,일반,서울,8,4
41938339,EncarMeetgo,EncarDiagnosisP1,기아,K8,2.5 가솔린 2WD,오토,가솔린,54075.0,2300.0,일반,경기,4,4
41693011,EncarMeetgo,EncarDiagnosisP1,현대,그랜저 하이브리드 (GN7),Others,오토,가솔린+전기,55493.0,3770.0,일반,서울,11,3
41805088,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 기아 레이,Others,오토,가솔린,77683.0,1120.0,일반,서울,11,3
41861920,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 시그니처,오토,가솔린,81661.0,2790.0,일반,서울,1,3
41805080,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 팰리세이드,디젤 2.2 2WD,오토,디젤,29966.0,3550.0,일반,서울,12,2
41805091,EncarMeetgo,EncarDiagnosisP1,기아,K8,2.5 가솔린 2WD,오토,가솔린,71299.0,2590.0,일반,서울,12,4
41879835,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,65007.0,2420.0,일반,경기,3,4
41777719,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),Others,오토,가솔린,115549.0,2900.0,일반,서울,2,5
41873215,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 레이,프레스티지,오토,가솔린,54928.0,1270.0,일반,경기,4,4
41901916,EncarMeetgo,EncarDiagnosisP1,현대,올 뉴 투싼,Others,오토,디젤,51511.0,1350.0,일반,경기,3,10
41873221,EncarMeetgo,EncarDiagnosisP0,기아,Others,2.0,오토,가솔린,67105.0,1660.0,일반,경기,1,7
41873216,EncarMeetgo,EncarDiagnosisP0,현대,쏘나타 뉴 라이즈,Others,오토,가솔린,129274.0,1270.0,일반,경기,3,8
41873218,EncarMeetgo,EncarDiagnosisP0,기아,더 뉴 쏘렌토,Others,오토,가솔린,87574.0,1999.0,일반,경기,4,8
41869310,EncarMeetgo,EncarDiagnosisP1,기아,Others,Others,오토,가솔린,131286.0,660.0,일반,경기,1,14
41873217,EncarMeetgo,EncarDiagnosisP0,기아,셀토스,Others,오토,가솔린,91447.0,1790.0,일반,경기,8,7
41876764,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 뉴 라이즈,Others,오토,가솔린,88205.0,1630.0,일반,경기,2,7
41873220,EncarMeetgo,EncarDiagnosisP0,현대,올 뉴 투싼,Others,오토,디젤,87715.0,1420.0,일반,경기,8,8
41873219,EncarMeetgo,EncarDiagnosisP0,현대,올 뉴 투싼,디젤 2.0 2WD,오토,디젤,82497.0,1550.0,일반,경기,3,9
41107635,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,126960.0,2499.0,일반,부산,8,6
41316450,EncarMeetgo,EncarDiagnosisP1,제네시스,Others,가솔린 2.5T 4WD,오토,가솔린,49296.0,3620.0,일반,서울,10,3
41940100,EncarMeetgo,EncarDiagnosisP1,현대,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,오토,디젤,149364.0,750.0,일반,서울,7,14
41547574,EncarMeetgo,EncarDiagnosisP1,제네시스,GV70,2.5T 가솔린 2WD,오토,가솔린,64188.0,3740.0,일반,서울,2,5
41927730,EncarMeetgo,EncarDiagnosisP1,쉐보레(GM대우),더 넥스트 스파크,Others,오토,가솔린,86217.0,520.0,일반,서울,6,10
41542975,EncarMeetgo,EncarDiagnosisP1,KG모빌리티(쌍용),더 뉴 렉스턴 스포츠 칸,디젤 2.2 4WD,오토,디젤,40992.0,2630.0,일반,부산,10,5
41945539,EncarMeetgo,EncarDiagnosisP1,현대,그랜저 하이브리드 (GN7),Others,오토,가솔린+전기,63980.0,3930.0,일반,부산,2,2
41894677,,,르노코리아(삼성),Others,Others,CVT,가솔린,154079.0,250.0,일반,경북,6,16
41858275,,,현대,Others,Others,오토,가솔린,143275.0,580.0,일반,경북,3,10
41798402,,,르노코리아(삼성),SM6,Others,CVT,LPG(일반인 구입),245914.0,450.0,일반,경북,10,10
41411698,,,쉐보레(GM대우),올 뉴 말리부,Others,오토,가솔린,99688.0,599.0,일반,경북,9,10
41956400,,,현대,그랜저 HG,Others,오토,가솔린,160400.0,690.0,일반,경북,11,11
41615756,,,현대,Others,Others,오토,가솔린,258572.0,740.0,일반,경북,11,12
41798038,,,기아,올 뉴 K7,3.3 GDI 노블레스,오토,가솔린,185468.0,840.0,일반,경북,6,10
41760070,,,쉐보레(GM대우),올란도,1.6 디젤 LT,오토,디젤,199638.0,440.0,일반,경북,3,10
41929552,,,쉐보레(GM대우),올 뉴 말리부,Others,오토,가솔린,193093.0,540.0,일반,경북,7,9
41919022,,,현대,Others,Others,오토,디젤,246268.0,380.0,일반,경북,6,12
41931005,,,쉐보레(GM대우),캡티바,Others,오토,디젤,178364.0,350.0,일반,경북,12,13
41945936,,,쉐보레(GM대우),Others,Others,오토,가솔린,125593.0,299.0,일반,경북,5,12
41828996,,,르노코리아(삼성),SM3 네오,Others,CVT,가솔린,189516.0,270.0,일반,경북,11,11
41937772,,,현대,Others,Others,오토,디젤,163560.0,420.0,일반,경북,3,14
41403414,,,기아,올 뉴 카니발,9인승 노블레스,오토,디젤,240889.0,870.0,일반,경북,6,10
41887242,,,르노코리아(삼성),Others,Others,CVT,가솔린,175244.0,250.0,일반,경북,12,16
41822809,,,쉐보레(GM대우),Others,Others,오토,가솔린,185068.0,530.0,일반,경북,2,10
41929552,,,쉐보레(GM대우),올 뉴 말리부,Others,오토,가솔린,193093.0,540.0,일반,경북,7,9
41919022,,,현대,Others,Others,오토,디젤,246268.0,380.0,일반,경북,6,12
41922411,,,기아,Others,Others,오토,디젤,174044.0,399.0,일반,경북,5,13
41931005,,,쉐보레(GM대우),캡티바,Others,오토,디젤,178364.0,350.0,일반,경북,12,13
41945936,,,쉐보레(GM대우),Others,Others,오토,가솔린,125593.0,299.0,일반,경북,5,12
41409053,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,7인승 시그니처,오토,디젤,40859.0,3800.0,일반,부산,2,5
41464496,EncarMeetgo,EncarDiagnosisP1,현대,싼타페 TM,Others,오토,가솔린,75852.0,2330.0,일반,인천,2,7
41653236,EncarMeetgo,EncarDiagnosisP1,현대,그랜저 IG,Others,오토,디젤,148640.0,1549.0,일반,경기,12,10
41575167,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 쏘렌토 4세대,HEV 1.6 2WD,오토,가솔린+전기,14342.0,4550.0,일반,부산,5,2
41624282,EncarMeetgo,EncarDiagnosisP1,현대,Others,Others,오토,가솔린+전기,119242.0,1520.0,일반,경기,6,6
41634005,EncarMeetgo,EncarDiagnosisP1,기아,쏘렌토 4세대,HEV 1.6 2WD,오토,가솔린+전기,47107.0,3280.0,일반,부산,11,6
41679498,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,Others,오토,디젤,29996.0,3449.0,일반,경기,3,5
41334004,EncarMeetgo,EncarDiagnosisP1,기아,모하비 더 마스터,디젤 3.0 4WD 6인승,오토,디젤,52395.0,3900.0,일반,부산,9,5
41144002,EncarMeetgo,EncarDiagnosisP1,기아,Others,Others,오토,가솔린,54210.0,1850.0,일반,부산,2,8
41650969,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 디 엣지(DN8),1.6 터보,오토,가솔린,8282.0,3250.0,일반,부산,5,2
41546444,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,디젤 2.2 4WD,오토,디젤,45565.0,3680.0,일반,부산,2,4
41642992,EncarMeetgo,EncarDiagnosisP1,쉐보레(GM대우),더 뉴 트랙스,Others,오토,가솔린,131818.0,650.0,일반,인천,12,10
41670385,EncarMeetgo,EncarDiagnosisP1,제네시스,G90,Others,오토,가솔린,93611.0,4049.0,일반,경기,3,5
41606408,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,디젤 2.2 2WD,오토,디젤,96426.0,2680.0,일반,부산,1,6
41295516,EncarMeetgo,EncarDiagnosisP1,기아,스포티지 5세대 하이브리드,시그니처 2WD,오토,가솔린+전기,29313.0,3280.0,일반,부산,11,4
41309214,EncarMeetgo,EncarDiagnosisP0,기아,레이,Others,오토,가솔린+LPG,158971.0,490.0,일반,인천,2,14
41453246,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,디젤 2.2 2WD,오토,디젤,61679.0,3490.0,일반,부산,6,5
41813613,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 쏘렌토,디젤 2.0 2WD,오토,디젤,59093.0,2050.0,일반,부산,7,9
41827502,EncarMeetgo,EncarDiagnosisP0,KG모빌리티(쌍용),토레스,Others,오토,가솔린,42260.0,2230.0,일반,경기,10,4
41834343,EncarMeetgo,EncarDiagnosisP1,현대,아이오닉5,롱레인지,오토,전기,48233.0,3680.0,일반,부산,2,4
41853153,EncarMeetgo,EncarDiagnosisP1,현대,아이오닉5,롱레인지,오토,전기,68996.0,3480.0,일반,부산,10,5
41749718,EncarMeetgo,EncarDiagnosisP1,쉐보레(GM대우),트랙스 크로스오버,Others,오토,가솔린,14295.0,2350.0,일반,부산,11,2
41889324,EncarMeetgo,EncarDiagnosisP1,르노코리아(삼성),Others,Others,오토,가솔린+전기,8930.0,3880.0,일반,부산,12,2
41919942,EncarMeetgo,EncarDiagnosisP1,현대,LF 쏘나타,Others,오토,가솔린,169984.0,600.0,일반,부산,5,10
41861656,EncarMeetgo,EncarDiagnosisP1,기아,스포티지 더 볼드,디젤 2.0 2WD,오토,디젤,63063.0,1990.0,일반,부산,2,7
41856840,EncarMeetgo,EncarDiagnosisP1,기아,Others,Others,오토,가솔린,90917.0,2399.0,일반,경기,6,8
41941348,EncarMeetgo,EncarDiagnosisP1,기아,타스만,2.5T 가솔린 4WD,오토,가솔린,3106.0,4800.0,일반,부산,10,1
40991482,EncarMeetgo,EncarDiagnosisP2,제네시스,GV80,3.0 디젤 AWD,오토,디젤,76714.0,4650.0,일반,서울,11,5
41902114,EncarMeetgo,EncarDiagnosisP1,기아,스포티지 5세대,가솔린 1.6 터보 2WD,오토,가솔린,74802.0,2809.0,일반,경기,2,3
41805075,EncarMeetgo,EncarDiagnosisP1,현대,아반떼 (CN7),1.6,오토,가솔린,112685.0,1700.0,일반,서울,3,3
41902995,EncarMeetgo,EncarDiagnosisP1,기아,K5 3세대,2.0,오토,가솔린,14766.0,2409.0,일반,경기,7,3
41805078,EncarMeetgo,EncarDiagnosisP1,기아,스포티지 5세대 하이브리드,노블레스 2WD,오토,가솔린+전기,76097.0,2520.0,일반,서울,3,4
41639539,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,78944.0,2990.0,일반,서울,2,4
41692047,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,127008.0,2790.0,일반,서울,2,4
41778478,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,Others,오토,가솔린,34192.0,3100.0,일반,서울,3,3
41805073,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,129015.0,2810.0,일반,서울,3,4
41913076,,EncarDiagnosisP0,제네시스,G80 (RG3),가솔린 3.5 터보 AWD,오토,가솔린,43925.0,4550.0,일반,서울,1,4
41786209,,EncarDiagnosisP1,기아,더 뉴 기아 레이,시그니처,오토,가솔린,10209.0,1749.0,일반,경기,4,2
41852865,,EncarDiagnosisP0,현대,Others,Others,오토,가솔린,69173.0,510.0,일반,경기,5,15
41626218,,EncarDiagnosisP1,기아,Others,시그니처,오토,가솔린,21158.0,1499.0,일반,경기,3,3
41941662,,EncarDiagnosisP1,기아,더 뉴 기아 레이,시그니처,오토,가솔린,5346.0,1919.0,일반,경기,3,1
41890009,,EncarDiagnosisP1,기아,Others,Others,오토,가솔린+전기,17558.0,2300.0,일반,경기,12,5
41590780,,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 3.5 터보 AWD,오토,가솔린,56876.0,4480.0,일반,서울,1,3
41890009,,EncarDiagnosisP1,기아,Others,Others,오토,가솔린+전기,17558.0,2300.0,일반,경기,12,5
41772934,,EncarDiagnosisP1,제네시스,G80 (RG3),Others,오토,가솔린,115549.0,2900.0,일반,서울,2,5
41690331,,EncarDiagnosisP1,현대,그랜저 하이브리드 (GN7),Others,오토,가솔린+전기,55493.0,3770.0,일반,서울,11,3
41933892,,EncarDiagnosisP1,기아,K8,2.5 가솔린 2WD,오토,가솔린,54075.0,2300.0,일반,경기,4,4
41799437,,EncarDiagnosisP1,기아,더 뉴 기아 레이,Others,오토,가솔린,77683.0,1120.0,일반,서울,11,3
41812997,,EncarDiagnosisP1,기아,K5 하이브리드 3세대,시그니처,오토,가솔린+전기,75603.0,2430.0,일반,서울,7,3
41799440,,EncarDiagnosisP1,현대,그랜저 (GN7),2.5 가솔린 2WD,오토,가솔린,46317.0,2890.0,일반,서울,1,3
41799446,,EncarDiagnosisP1,기아,K8,2.5 가솔린 2WD,오토,가솔린,71299.0,2590.0,일반,서울,12,4
41799438,,EncarDiagnosisP1,현대,더 뉴 팰리세이드,디젤 2.2 2WD,오토,디젤,29966.0,3550.0,일반,서울,12,2
41865795,,EncarDiagnosisP1,기아,스포티지 5세대 하이브리드,Others,오토,가솔린+전기,67352.0,2600.0,일반,서울,8,4
41799433,,EncarDiagnosisP1,기아,더 뉴 기아 레이,프레스티지,오토,가솔린,21621.0,1410.0,일반,서울,3,3
41867939,,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,65007.0,2420.0,일반,경기,3,4
41860208,,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 시그니처,오토,가솔린,81661.0,2790.0,일반,서울,1,3
41314098,,EncarDiagnosisP0,현대,쏘나타 뉴 라이즈,Others,오토,가솔린,129274.0,1270.0,일반,경기,3,8
40923036,,EncarDiagnosisP1,기아,Others,Others,오토,가솔린,131286.0,660.0,일반,경기,1,14
41739018,,EncarDiagnosisP0,기아,더 뉴 쏘렌토,Others,오토,가솔린,87574.0,1999.0,일반,경기,4,8
41899451,,EncarDiagnosisP1,현대,올 뉴 투싼,Others,오토,디젤,51511.0,1350.0,일반,경기,3,10
41868561,,EncarDiagnosisP1,현대,쏘나타 뉴 라이즈,Others,오토,가솔린,88205.0,1630.0,일반,경기,2,7
41849530,,EncarDiagnosisP0,기아,Others,2.0,오토,가솔린,67105.0,1660.0,일반,경기,1,7
41475977,,EncarDiagnosisP0,기아,셀토스,Others,오토,가솔린,91447.0,1790.0,일반,경기,8,7
41119402,,EncarDiagnosisP1,기아,더 뉴 레이,프레스티지,오토,가솔린,54928.0,1270.0,일반,경기,4,4
41805119,,EncarDiagnosisP0,현대,올 뉴 투싼,Others,오토,디젤,87715.0,1420.0,일반,경기,8,8
