Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Mileage,Price,SellType,OfficeCityState,Model_Month,Vehicle_Age
41201334,EncarMeetgo,EncarDiagnosisP2,기아,카니발 4세대,Others,오토,가솔린,101674.0,3550.0,일반,서울,12,6
41644961,EncarMeetgo,EncarDiagnosisP1,현대,Others,Others,오토,가솔린+전기,21398.0,2810.0,일반,경기,11,3
41676417,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,디젤 2.2 2WD,오토,디젤,54586.0,3099.0,일반,서울,7,5
41751577,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 카니발,Others,오토,디젤,108195.0,1790.0,일반,경기,8,7
41777799,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,81472.0,2020.0,일반,서울,3,4
41693130,EncarMeetgo,EncarDiagnosisP1,기아,쏘렌토 4세대,가솔린 2.5T 2WD,오토,가솔린,20043.0,2800.0,일반,서울,2,4
41795735,EncarMeetgo,EncarDiagnosisP1,현대,Others,Others,오토,가솔린,73111.0,1740.0,일반,경기,3,4
41795737,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,37407.0,3230.0,일반,경기,3,4
41658234,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,134452.0,2560.0,일반,서울,1,4
41795739,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 (DN8),2.0,오토,가솔린,125739.0,1400.0,일반,경기,4,5
41693138,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,88873.0,2440.0,일반,서울,2,4
41950185,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 (DN8),2.0,오토,가솔린,99826.0,1490.0,일반,경기,6,4
40552721,EncarMeetgo,EncarDiagnosisP1,현대,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,오토,디젤,135192.0,1180.0,일반,울산,2,11
40570982,EncarMeetgo,EncarDiagnosisP1,르노코리아(삼성),Others,Others,오토,가솔린,94048.0,450.0,일반,울산,10,12
40487494,EncarMeetgo,EncarDiagnosisP1,기아,올 뉴 모닝,디럭스 스페셜,오토,가솔린,123851.0,390.0,일반,울산,1,14
41250360,EncarMeetgo,EncarDiagnosisP1,기아,Others,3.3 GDI 노블레스,오토,가솔린,96187.0,990.0,일반,울산,7,14
41017572,EncarMeetgo,EncarDiagnosisP1,현대,Others,Others,오토,가솔린,140681.0,650.0,일반,울산,6,15
41085074,EncarMeetgo,EncarDiagnosisP1,기아,K5 3세대,1.6 터보,오토,가솔린,68590.0,2080.0,일반,울산,9,6
41497503,EncarMeetgo,EncarDiagnosisP1,현대,그랜저 IG,Others,오토,가솔린,120267.0,1490.0,일반,울산,1,9
