Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Mileage,Price,SellType,OfficeCityState,Model_Month,Vehicle_Age
41594810,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,디젤 2.2 4WD,오토,디젤,113126.0,2590.0,일반,경기,12,8
41679966,EncarMeetgo,EncarDiagnosisP2,쉐보레(GM대우),Others,Others,오토,가솔린,32688.0,2600.0,일반,경기,7,4
42012985,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,Others,오토,가솔린,15434.0,3309.0,일반,서울,4,3
41838482,EncarMeetgo,EncarDiagnosisP1,현대,Others,Others,오토,가솔린+전기,31969.0,3930.0,일반,서울,1,2
42012992,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,Others,오토,디젤,21045.0,3109.0,일반,서울,4,5
42012990,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 (DN8),2.0,오토,가솔린,68436.0,2509.0,일반,서울,5,4
40951159,,EncarDiagnosisP0,KG모빌리티(쌍용),Others,Others,오토,가솔린,52692.0,2180.0,일반,부산,9,4
41859244,,EncarDiagnosisP0,르노코리아(삼성),Others,Others,오토,LPG(일반인 구입),40670.0,1850.0,일반,부산,8,4
41592586,,EncarDiagnosisP0,제네시스,GV80,Others,오토,디젤,54859.0,5150.0,일반,부산,9,6
41640351,,EncarDiagnosisP0,현대,팰리세이드,Others,오토,가솔린,84749.0,2270.0,일반,부산,5,6
41834116,,EncarDiagnosisP0,현대,Others,디젤 2.0 2WD,오토,디젤,89260.0,1260.0,일반,부산,6,10
41970254,,EncarDiagnosisP0,현대,Others,Others,오토,가솔린+전기,6635.0,6190.0,일반,부산,5,1
41640329,,EncarDiagnosisP0,기아,Others,Others,오토,디젤,90090.0,1490.0,일반,부산,1,8
41585316,,EncarDiagnosisP1,현대,팰리세이드,디젤 2.2 4WD,오토,디젤,113126.0,2590.0,일반,경기,12,8
