Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Mileage,Price,SellType,OfficeCityState,Model_Month,Vehicle_Age
41371338,EncarMeetgo,EncarDiagnosisP2,기아,Others,9인승 하이리무진,오토,디젤,100918.0,1690.0,일반,서울,6,9
41371356,EncarMeetgo,EncarDiagnosisP2,쉐보레(GM대우),Others,Others,오토,가솔린,82281.0,1850.0,일반,서울,12,7
41154117,EncarMeetgo,EncarDiagnosisP2,KG모빌리티(쌍용),Others,디젤 2.2 4WD,오토,디젤,66474.0,2690.0,일반,서울,1,2
41393161,EncarMeetgo,EncarDiagnosisP2,KG모빌리티(쌍용),Others,Others,오토,가솔린,15245.0,2030.0,일반,서울,11,4
41613512,EncarMeetgo,EncarDiagnosisP2,기아,카니발 4세대,Others,오토,가솔린,6828.0,3530.0,일반,서울,6,3
41688702,EncarMeetgo,,제네시스,GV80,Others,오토,가솔린,88957.0,3720.0,일반,서울,7,6
41430781,EncarMeetgo,EncarDiagnosisP2,기아,쏘렌토 4세대,Others,오토,가솔린,51534.0,3320.0,일반,서울,11,4
41613501,EncarMeetgo,EncarDiagnosisP2,제네시스,Others,Others,오토,가솔린,31947.0,3690.0,일반,서울,4,4
41714755,EncarMeetgo,EncarDiagnosisP2,제네시스,GV80,Others,오토,가솔린,30739.0,4620.0,일반,서울,10,6
41731329,EncarMeetgo,EncarDiagnosisP2,현대,Others,Others,오토,가솔린+전기,25975.0,4490.0,일반,서울,2,1
41767646,EncarMeetgo,EncarDiagnosisP2,기아,Others,Others,오토,가솔린,13605.0,4290.0,일반,서울,6,1
41776545,EncarMeetgo,EncarDiagnosisP2,제네시스,G80 (RG3),Others,오토,가솔린,62280.0,3820.0,일반,경기,5,4
41777997,EncarMeetgo,EncarDiagnosisP1,제네시스,GV70,2.5T 가솔린 AWD,오토,가솔린,31628.0,4620.0,일반,서울,8,2
41713016,EncarMeetgo,EncarDiagnosisP2,기아,카니발 4세대,Others,오토,가솔린,60484.0,3490.0,일반,서울,7,5
41794193,EncarMeetgo,EncarDiagnosisP2,기아,카니발 4세대,Others,오토,디젤,35046.0,3130.0,일반,서울,8,6
41795252,EncarMeetgo,EncarDiagnosisP2,쉐보레(GM대우),Others,Others,오토,가솔린,98.0,2490.0,일반,서울,12,1
41816099,EncarMeetgo,,현대,Others,Others,오토,디젤,56839.0,850.0,일반,서울,12,14
41819644,EncarMeetgo,EncarDiagnosisP2,기아,쏘렌토 4세대,HEV 1.6 2WD,오토,가솔린+전기,23177.0,3450.0,일반,서울,9,5
41834213,EncarMeetgo,EncarDiagnosisP1,기아,Others,프레스티지,오토,가솔린,51720.0,1090.0,일반,경기,3,5
41857415,EncarMeetgo,EncarDiagnosisP2,기아,Others,Others,오토,가솔린,10671.0,3690.0,일반,서울,3,1
41877256,EncarMeetgo,EncarDiagnosisP2,제네시스,GV80,3.0 디젤 AWD,오토,디젤,57274.0,4840.0,일반,서울,4,6
41919992,EncarMeetgo,EncarDiagnosisP2,기아,Others,Others,오토,가솔린,69379.0,1520.0,일반,서울,12,9
41894359,EncarMeetgo,EncarDiagnosisP2,기아,Others,트렌디,오토,가솔린,138018.0,770.0,일반,서울,1,9
41925948,EncarMeetgo,EncarDiagnosisP2,KG모빌리티(쌍용),Others,디젤 2.2 4WD,오토,디젤,31899.0,3320.0,일반,서울,3,2
41886342,EncarMeetgo,EncarDiagnosisP2,현대,Others,Others,오토,가솔린+전기,65235.0,3420.0,일반,서울,4,3
41910817,EncarMeetgo,EncarDiagnosisP2,현대,Others,2.5 가솔린 2WD,오토,가솔린,31727.0,3490.0,일반,서울,5,3
41886364,EncarMeetgo,EncarDiagnosisP2,기아,쏘렌토 4세대,디젤 2.2 4WD,오토,디젤,37820.0,3620.0,일반,서울,8,4
41962096,EncarMeetgo,EncarDiagnosisP2,현대,Others,2.5 가솔린 2WD,오토,가솔린,13011.0,4090.0,일반,서울,4,1
41962154,EncarMeetgo,EncarDiagnosisP2,르노코리아(삼성),더 뉴 QM6,Others,오토,LPG(일반인 구입),39897.0,2170.0,일반,서울,7,2
41971813,EncarMeetgo,EncarDiagnosisP1,기아,Others,Others,오토,가솔린,41305.0,2440.0,일반,서울,10,4
41985831,EncarMeetgo,EncarDiagnosisP2,KG모빌리티(쌍용),Others,Others,오토,디젤,118944.0,890.0,일반,서울,6,9
42004436,EncarMeetgo,EncarDiagnosisP2,현대,그랜저 IG,Others,오토,가솔린,150108.0,1350.0,일반,서울,6,9
42014158,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),Others,오토,가솔린,52052.0,3210.0,일반,서울,4,4
42014157,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,Others,오토,가솔린,51613.0,2850.0,일반,서울,11,3
42014175,EncarMeetgo,EncarDiagnosisP2,현대,Others,Others,오토,가솔린+전기,102654.0,2620.0,일반,서울,5,6
42014203,EncarMeetgo,EncarDiagnosisP2,현대,팰리세이드,Others,오토,가솔린,98580.0,2220.0,일반,서울,5,7
