Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Year,Mileage,Price,SellType,OfficeCityState
41792560,EncarMeetgo,EncarDiagnosisP1,기아,K8,2.5 가솔린 2WD,오토,가솔린,202304.0,25182.0,2410.0,일반,경기
42009507,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 시그니처,오토,가솔린,202204.0,64966.0,2760.0,일반,서울
41938518,EncarMeetgo,EncarDiagnosisP1,현대,코나 (SX2),가솔린 1.6 터보 2WD,오토,가솔린,202304.0,53777.0,2120.0,일반,경기
41944248,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 (DN8),1.6 터보,오토,가솔린,202204.0,109511.0,1830.0,일반,서울
41944250,EncarMeetgo,EncarDiagnosisP1,제네시스,GV70,2.2 디젤 AWD,오토,디젤,202104.0,81516.0,3290.0,일반,서울
41972711,EncarMeetgo,EncarDiagnosisP1,현대,아반떼 (CN7),1.6,오토,가솔린,202204.0,66929.0,1510.0,일반,서울
42021615,EncarMeetgo,EncarDiagnosisP1,기아,K8 하이브리드,시그니처,오토,가솔린+전기,202210.0,45922.0,3200.0,일반,서울
41648416,EncarMeetgo,EncarDiagnosisP2,현대,그랜저 (GN7),3.5 가솔린 2WD,오토,가솔린,202304.0,55840.0,2730.0,일반,경기
41944252,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 카니발 4세대,HEV 9인승 프레스티지,오토,가솔린+전기,202401.0,64251.0,3220.0,일반,서울
41649575,EncarMeetgo,EncarDiagnosisP2,기아,쏘렌토 4세대,HEV 1.6 2WD,오토,가솔린+전기,202203.0,111558.0,2498.0,일반,경기
41944247,EncarMeetgo,EncarDiagnosisP1,KG모빌리티(쌍용),토레스,가솔린 1.5 2WD,오토,가솔린,202210.0,24689.0,1910.0,일반,서울
41793658,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,202206.0,120771.0,2780.0,일반,경기
41855966,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,202211.0,45978.0,2770.0,일반,서울
42021612,EncarMeetgo,EncarDiagnosisP1,KG모빌리티(쌍용),토레스,가솔린 1.5 2WD,오토,가솔린,202208.0,38892.0,1830.0,일반,서울
41844639,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,202303.0,38069.0,2930.0,일반,서울
41903433,EncarMeetgo,EncarDiagnosisP1,기아,K5 3세대,2.0 LPI(렌터카용),오토,LPG(일반인 구입),202212.0,54621.0,1640.0,일반,경기
41944255,EncarMeetgo,EncarDiagnosisP1,현대,아반떼 (CN7),1.6,오토,가솔린,202202.0,33944.0,2030.0,일반,서울
41972713,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 프레스티지,오토,디젤,202206.0,61259.0,2150.0,일반,서울
42021614,EncarMeetgo,EncarDiagnosisP1,제네시스,GV80,3.5T 가솔린 AWD,오토,가솔린,202204.0,24341.0,5180.0,일반,서울
41649574,,EncarDiagnosisP2,기아,쏘렌토 4세대,HEV 1.6 2WD,오토,가솔린+전기,202203.0,111558.0,2498.0,일반,경기
41790489,,EncarDiagnosisP1,기아,K8,2.5 가솔린 2WD,오토,가솔린,202304.0,25182.0,2410.0,일반,경기
41648414,,EncarDiagnosisP2,현대,그랜저 (GN7),3.5 가솔린 2WD,오토,가솔린,202304.0,55840.0,2730.0,일반,경기
41843462,,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,202303.0,38069.0,2930.0,일반,서울
41939069,,EncarDiagnosisP1,제네시스,GV70,2.2 디젤 AWD,오토,디젤,202104.0,81516.0,3290.0,일반,서울
41939053,,EncarDiagnosisP1,KG모빌리티(쌍용),토레스,가솔린 1.5 2WD,오토,가솔린,202210.0,24689.0,1910.0,일반,서울
41968219,,EncarDiagnosisP1,기아,카니발 4세대,9인승 프레스티지,오토,디젤,202206.0,61259.0,2150.0,일반,서울
41939058,,EncarDiagnosisP1,현대,쏘나타 (DN8),1.6 터보,오토,가솔린,202204.0,109511.0,1830.0,일반,서울
41899841,,EncarDiagnosisP1,기아,K5 3세대,2.0 LPI(렌터카용),오토,LPG(일반인 구입),202212.0,54621.0,1640.0,일반,경기
42015805,,EncarDiagnosisP1,KG모빌리티(쌍용),토레스,가솔린 1.5 2WD,오토,가솔린,202208.0,38892.0,1830.0,일반,서울
41854464,,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,202211.0,45978.0,2770.0,일반,서울
41790351,,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,202206.0,120771.0,2780.0,일반,경기
41789422,,,쉐보레(GM대우),뉴 다마스,2인승 판넬밴,수동,LPG(일반인 구입),202102.0,93000.0,690.0,일반,서울
41935540,,EncarDiagnosisP1,현대,코나 (SX2),가솔린 1.6 터보 2WD,오토,가솔린,202304.0,53777.0,2120.0,일반,경기
41939072,,EncarDiagnosisP1,현대,아반떼 (CN7),1.6,오토,가솔린,202202.0,33944.0,2030.0,일반,서울
41939079,,EncarDiagnosisP1,기아,더 뉴 카니발 4세대,HEV 9인승 프레스티지,오토,가솔린+전기,202401.0,64251.0,3220.0,일반,서울
42015810,,EncarDiagnosisP1,제네시스,GV80,3.5T 가솔린 AWD,오토,가솔린,202204.0,24341.0,5180.0,일반,서울
42015817,,EncarDiagnosisP1,기아,K8 하이브리드,시그니처,오토,가솔린+전기,202210.0,45922.0,3200.0,일반,서울
