Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Year,Mileage,Price,SellType,OfficeCityState
41855966,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,202211.0,45978.0,2820.0,일반,서울
41886143,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 4WD,오토,가솔린,202109.0,97994.0,2911.0,일반,경기
41944247,EncarMeetgo,EncarDiagnosisP1,KG모빌리티(쌍용),토레스,가솔린 1.5 2WD,오토,가솔린,202210.0,24689.0,1980.0,일반,서울
41944248,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 (DN8),1.6 터보,오토,가솔린,202204.0,109511.0,1900.0,일반,서울
41944250,EncarMeetgo,EncarDiagnosisP1,제네시스,GV70,2.2 디젤 AWD,오토,디젤,202104.0,81516.0,3410.0,일반,서울
41844639,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,202303.0,38069.0,2990.0,일반,서울
41944244,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,202403.0,35349.0,4980.0,일반,서울
41944252,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 카니발 4세대,HEV 9인승 프레스티지,오토,가솔린+전기,202401.0,64251.0,3340.0,일반,서울
41944255,EncarMeetgo,EncarDiagnosisP1,현대,아반떼 (CN7),1.6,오토,가솔린,202202.0,33944.0,2100.0,일반,서울
41944259,EncarMeetgo,EncarDiagnosisP1,제네시스,GV80,3.5T 가솔린 2WD,오토,가솔린,202202.0,91066.0,4040.0,일반,서울
41903433,EncarMeetgo,EncarDiagnosisP1,기아,K5 3세대,2.0 LPI(렌터카용),오토,LPG(일반인 구입),202212.0,54621.0,1680.0,일반,경기
41792560,EncarMeetgo,EncarDiagnosisP1,기아,K8,2.5 가솔린 2WD,오토,가솔린,202304.0,25182.0,2470.0,일반,경기
41972713,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 프레스티지,오토,디젤,202206.0,61259.0,2230.0,일반,서울
41972711,EncarMeetgo,EncarDiagnosisP1,현대,아반떼 (CN7),1.6,오토,가솔린,202204.0,66929.0,1560.0,일반,서울
41793658,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,202206.0,120771.0,2840.0,일반,경기
41938518,EncarMeetgo,EncarDiagnosisP1,현대,코나 (SX2),가솔린 1.6 터보 2WD,오토,가솔린,202304.0,53777.0,2200.0,일반,경기
41172819,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 3.5 터보 AWD,오토,가솔린,202201.0,90187.0,4090.0,일반,대구
40850499,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,202308.0,77467.0,3230.0,일반,대구
42005401,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,202111.0,86818.0,2630.0,일반,대구
41731982,EncarMeetgo,EncarDiagnosisP1,KG모빌리티(쌍용),더 뉴 렉스턴 스포츠 칸,디젤 2.2 4WD,오토,디젤,202405.0,17639.0,3470.0,일반,대구
41894482,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 K5 3세대,2.0 LPi(렌트카용),오토,LPG(일반인 구입),202410.0,15604.0,9999.0,일반,대구
41546975,EncarMeetgo,EncarDiagnosisP1,제네시스,GV80,2.5T 가솔린 AWD,오토,가솔린,202309.0,69913.0,5490.0,일반,대구
41939052,,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,202403.0,35349.0,4980.0,일반,서울
41939053,,EncarDiagnosisP1,KG모빌리티(쌍용),토레스,가솔린 1.5 2WD,오토,가솔린,202210.0,24689.0,1980.0,일반,서울
41790351,,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,202206.0,120771.0,2840.0,일반,경기
41939058,,EncarDiagnosisP1,현대,쏘나타 (DN8),1.6 터보,오토,가솔린,202204.0,109511.0,1900.0,일반,서울
41875980,,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 4WD,오토,가솔린,202109.0,97994.0,2911.0,일반,경기
41939079,,EncarDiagnosisP1,기아,더 뉴 카니발 4세대,HEV 9인승 프레스티지,오토,가솔린+전기,202401.0,64251.0,3340.0,일반,서울
41790489,,EncarDiagnosisP1,기아,K8,2.5 가솔린 2WD,오토,가솔린,202304.0,25182.0,2470.0,일반,경기
41939080,,EncarDiagnosisP1,제네시스,GV80,3.5T 가솔린 2WD,오토,가솔린,202202.0,91066.0,4040.0,일반,서울
41967905,,EncarDiagnosisP1,현대,아반떼 (CN7),1.6,오토,가솔린,202204.0,66929.0,1560.0,일반,서울
41968219,,EncarDiagnosisP1,기아,카니발 4세대,9인승 프레스티지,오토,디젤,202206.0,61259.0,2230.0,일반,서울
41854464,,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,202211.0,45978.0,2820.0,일반,서울
41789422,,,쉐보레(GM대우),뉴 다마스,2인승 판넬밴,수동,LPG(일반인 구입),202102.0,93000.0,680.0,일반,서울
41935540,,EncarDiagnosisP1,현대,코나 (SX2),가솔린 1.6 터보 2WD,오토,가솔린,202304.0,53777.0,2200.0,일반,경기
41843462,,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,202303.0,38069.0,2990.0,일반,서울
41939072,,EncarDiagnosisP1,현대,아반떼 (CN7),1.6,오토,가솔린,202202.0,33944.0,2100.0,일반,서울
41899841,,EncarDiagnosisP1,기아,K5 3세대,2.0 LPI(렌터카용),오토,LPG(일반인 구입),202212.0,54621.0,1680.0,일반,경기
41939069,,EncarDiagnosisP1,제네시스,GV70,2.2 디젤 AWD,오토,디젤,202104.0,81516.0,3410.0,일반,서울
41702041,EncarMeetgo,EncarDiagnosisP1,제네시스,GV70,2.2 디젤 AWD,오토,디젤,202107.0,129870.0,2700.0,일반,서울
41702031,EncarMeetgo,EncarDiagnosisP1,기아,쏘렌토 4세대,HEV 1.6 2WD,오토,가솔린+전기,202205.0,51865.0,2850.0,일반,서울
41878613,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,202204.0,41655.0,2620.0,일반,경기
41696345,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,202207.0,69558.0,2400.0,일반,서울
41759103,EncarMeetgo,EncarDiagnosisP2,기아,디 올 뉴 니로,시그니처,오토,가솔린+전기,202206.0,110333.0,2280.0,일반,경기
40845361,,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,202308.0,77467.0,3230.0,일반,대구
41533877,,EncarDiagnosisP1,제네시스,GV80,2.5T 가솔린 AWD,오토,가솔린,202309.0,69913.0,5490.0,일반,대구
41166649,,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 3.5 터보 AWD,오토,가솔린,202201.0,90187.0,4090.0,일반,대구
