Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Mileage,Price,SellType,OfficeCityState,Model_Month,Vehicle_Age
41871625,EncarMeetgo,EncarDiagnosisP2,쉐보레(GM대우),Others,Others,오토,가솔린,32020.0,1980.0,일반,경기,9,3
41836249,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 모하비,디젤 3.0 4WD,오토,디젤,111563.0,1420.0,일반,경기,11,10
41212124,EncarMeetgo,EncarDiagnosisP1,제네시스,G80,3.3 GDI AWD,오토,가솔린,138475.0,1710.0,일반,경기,1,7
41692309,EncarMeetgo,EncarDiagnosisP1,기아,K8,2.5 가솔린 2WD,오토,가솔린,27953.0,2580.0,일반,서울,2,2
41700909,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,53179.0,2700.0,일반,서울,3,4
41721306,EncarMeetgo,EncarDiagnosisP2,기아,K8 하이브리드,노블레스,오토,가솔린+전기,52104.0,2820.0,일반,경기,3,3
41700912,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,83083.0,3610.0,일반,서울,10,3
41542847,EncarMeetgo,EncarDiagnosisP2,기아,더 뉴 K5 3세대,1.6 터보,오토,가솔린,29345.0,3060.0,일반,경기,4,2
41692307,EncarMeetgo,EncarDiagnosisP1,현대,Others,가솔린 2.5T 2WD,오토,가솔린,20803.0,2930.0,일반,서울,8,2
40423641,EncarMeetgo,EncarDiagnosisP1,KG모빌리티(쌍용),티볼리 아머,Others,오토,가솔린,148144.0,799.0,일반,경기,8,8
40926453,EncarMeetgo,EncarDiagnosisP1,기아,쏘렌토 4세대,HEV 1.6 2WD,오토,가솔린+전기,60591.0,3550.0,일반,경기,8,3
40953267,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜저 IG 하이브리드,프리미엄,오토,가솔린+전기,168848.0,1890.0,일반,경기,7,6
