Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Year,Mileage,Price,SellType,OfficeCityState
41734396,EncarMeetgo,EncarDiagnosisP1,현대,스타리아,카고 3인승,오토,디젤,202205.0,129046.0,1950.0,일반,경기
41082757,EncarMeetgo,EncarDiagnosisP1,기아,셀토스,가솔린 1.6 터보 2WD,오토,가솔린,202102.0,36716.0,2069.0,일반,경기
41303940,EncarMeetgo,,현대,캐스퍼,디 에센셜,오토,가솔린,202211.0,30580.0,1499.0,일반,경기
41679898,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 프레스티지,오토,디젤,202212.0,69651.0,3050.0,일반,서울
41562078,EncarMeetgo,EncarDiagnosisP2,현대,더 뉴 아반떼 AD,1.6,오토,가솔린,201810.0,121082.0,1019.0,일반,경기
41303938,EncarMeetgo,EncarDiagnosisP1,기아,더 프레스티지 K7,3.3 GDI 노블레스,오토,가솔린,201110.0,196680.0,439.0,일반,경기
41303937,EncarMeetgo,,현대,코나,1.6 터보 2WD,오토,가솔린,201801.0,72959.0,1239.0,일반,경기
41303943,EncarMeetgo,,현대,코나 일렉트릭,모던,오토,전기,201812.0,161214.0,1189.0,일반,경기
41605394,EncarMeetgo,EncarDiagnosisP2,현대,아이오닉5,롱레인지 AWD,오토,전기,202111.0,45721.0,3549.0,일반,경기
41794875,EncarMeetgo,EncarDiagnosisP1,기아,쏘렌토 4세대,디젤 2.2 4WD,오토,디젤,202106.0,97983.0,2020.0,일반,경기
41679249,EncarMeetgo,,기아,K5 하이브리드,노블레스,오토,가솔린+전기,201106.0,100310.0,639.0,일반,경기
41697346,EncarMeetgo,EncarDiagnosisP2,기아,스토닉,1.4,오토,가솔린,201906.0,80187.0,1289.0,일반,경기
41833998,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,202211.0,55543.0,2470.0,일반,경기
41872514,EncarMeetgo,EncarDiagnosisP1,기아,디 올 뉴 니로,시그니처,오토,가솔린+전기,202212.0,19904.0,2950.0,일반,부산
41751111,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 K9 2세대,3.8 GDI AWD,오토,가솔린,202207.0,60252.0,3950.0,일반,경기
41759493,EncarMeetgo,EncarDiagnosisP0,현대,더 뉴 그랜드 스타렉스,어린이보호차,오토,디젤,202004.0,42474.0,1739.0,일반,경기
41979091,EncarMeetgo,,기아,더 뉴 카니발,9인승 하이리무진,오토,디젤,201811.0,163187.0,1699.0,일반,경기
41896767,EncarMeetgo,EncarDiagnosisP2,현대,더 뉴 그랜저 IG 하이브리드,르블랑,오토,가솔린+전기,202203.0,80059.0,2799.0,일반,경기
41734813,EncarMeetgo,EncarDiagnosisP0,현대,스타리아,4WD 어린이보호차,오토,디젤,202208.0,70053.0,2849.0,일반,경기
40816584,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 팰리세이드,가솔린 3.8 2WD,오토,가솔린,202208.0,50542.0,3339.0,일반,경기
41043634,EncarMeetgo,EncarDiagnosisP2,기아,쏘렌토 4세대,HEV 1.6 4WD,오토,가솔린+전기,202111.0,49899.0,3789.0,일반,경기
41291349,EncarMeetgo,EncarDiagnosisP2,기아,K5 하이브리드 3세대,프레스티지,오토,가솔린+전기,202001.0,97584.0,1839.0,일반,경기
41418616,EncarMeetgo,EncarDiagnosisP2,기아,더 뉴 카니발 4세대,7인승 노블레스,오토,디젤,202312.0,35380.0,3989.0,일반,경기
41399400,EncarMeetgo,EncarDiagnosisP2,기아,더 뉴 모하비,디젤 3.0 4WD,오토,디젤,201811.0,176376.0,1599.0,일반,경기
41795662,EncarMeetgo,EncarDiagnosisP2,쉐보레(GM대우),더 뉴 카마로,SS 6.2 V8,오토,가솔린,201912.0,67824.0,3639.0,일반,경기
41463206,EncarMeetgo,EncarDiagnosisP2,현대,캐스퍼,디 에센셜 라이트,오토,가솔린,202311.0,33623.0,1399.0,일반,경기
41497292,EncarMeetgo,EncarDiagnosisP2,기아,더 뉴 카니발 4세대,9인승 노블레스,오토,디젤,202412.0,21498.0,4019.0,일반,경기
41834005,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,202111.0,45913.0,2280.0,일반,경기
41733416,,EncarDiagnosisP1,현대,스타리아,카고 3인승,오토,디젤,202205.0,129046.0,1950.0,일반,경기
41669356,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 싼타페,가솔린 2.5T 2WD,오토,가솔린,202104.0,57027.0,2540.0,일반,서울
41749879,EncarMeetgo,EncarDiagnosisP2,기아,쏘렌토 4세대,가솔린 2.5T 2WD,오토,가솔린,202304.0,73269.0,2710.0,일반,경기
41748313,EncarMeetgo,,기아,셀토스,가솔린 1.6 터보 2WD,오토,가솔린,202204.0,45147.0,2160.0,일반,경기
41730305,EncarMeetgo,EncarDiagnosisP1,현대,그랜저 (GN7),2.5 가솔린 2WD,오토,가솔린,202312.0,34108.0,2760.0,일반,경기
41700288,EncarMeetgo,EncarDiagnosisP2,기아,더 뉴 K3 2세대,1.6,오토,가솔린,202203.0,57766.0,1698.0,일반,경기
