Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Mileage,Price,SellType,OfficeCityState,Model_Month,Vehicle_Age
41625813,EncarMeetgo,EncarDiagnosisP1,기아,쏘렌토 4세대,HEV 1.6 2WD,오토,가솔린+전기,51295.0,3020.0,일반,서울,1,4
41622109,EncarMeetgo,EncarDiagnosisP1,기아,K5 3세대,1.6 터보,오토,가솔린,45908.0,2360.0,일반,서울,3,4
41944481,EncarMeetgo,EncarDiagnosisP1,기아,K7 프리미어,Others,오토,가솔린,147384.0,1710.0,일반,경기,3,6
40380420,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 카니발,Others,오토,디젤,61387.0,1560.0,일반,서울,11,7
41938581,EncarMeetgo,EncarDiagnosisP1,현대,캐스퍼,Others,오토,가솔린,26283.0,1490.0,일반,경기,6,2
41510645,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,74826.0,3099.0,일반,경기,1,4
41692731,EncarMeetgo,EncarDiagnosisP1,기아,쏘렌토 4세대,가솔린 2.5T 2WD,오토,가솔린,82584.0,3050.0,일반,서울,3,4
41877102,EncarMeetgo,EncarDiagnosisP1,현대,아반떼 (CN7),1.6,오토,가솔린,25485.0,1810.0,일반,경기,1,3
41644439,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,가솔린 7인승 시그니처,오토,가솔린,108668.0,2590.0,일반,경기,2,3
41648416,EncarMeetgo,EncarDiagnosisP2,현대,그랜저 (GN7),3.5 가솔린 2WD,오토,가솔린,55840.0,2780.0,일반,경기,4,3
41909557,EncarMeetgo,EncarDiagnosisP1,기아,K5 3세대,2.0,오토,가솔린,14653.0,3011.0,일반,경기,6,3
41594479,,EncarDiagnosisP0,쉐보레(GM대우),더 뉴 트랙스,Others,오토,가솔린,100162.0,649.0,일반,경기,2,9
40378586,,EncarDiagnosisP1,기아,더 뉴 카니발,Others,오토,디젤,61387.0,1560.0,일반,서울,11,7
41619233,,EncarDiagnosisP1,기아,쏘렌토 4세대,HEV 1.6 2WD,오토,가솔린+전기,51295.0,3020.0,일반,서울,1,4
41717776,,,쉐보레(GM대우),Others,Others,수동,LPG(일반인 구입),65000.0,710.0,일반,서울,4,7
41510125,,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,74826.0,3099.0,일반,경기,1,4
41933190,,EncarDiagnosisP1,기아,K7 프리미어,Others,오토,가솔린,147384.0,1710.0,일반,경기,3,6
41935623,,EncarDiagnosisP1,현대,캐스퍼,Others,오토,가솔린,26283.0,1490.0,일반,경기,6,2
41619241,,EncarDiagnosisP1,기아,K5 3세대,1.6 터보,오토,가솔린,45908.0,2360.0,일반,서울,3,4
41959713,,,현대,아반떼 (CN7),1.6,오토,가솔린,81453.0,1299.0,일반,경기,10,4
41938492,,EncarDiagnosisP0,기아,더 뉴 쏘렌토,디젤 2.2 2WD,오토,디젤,103220.0,1760.0,일반,서울,4,7
41690348,,EncarDiagnosisP1,기아,쏘렌토 4세대,가솔린 2.5T 2WD,오토,가솔린,82584.0,3050.0,일반,서울,3,4
41628821,,EncarDiagnosisP0,현대,싼타페 TM,디젤 2.2 4WD,오토,디젤,39513.0,2490.0,일반,경기,7,7
41709109,,EncarDiagnosisP0,KG모빌리티(쌍용),Others,Others,오토,가솔린,105034.0,740.0,일반,충북,3,11
41074053,,EncarDiagnosisP0,기아,Others,럭셔리,오토,가솔린,115976.0,780.0,일반,충북,10,9
41688805,,EncarDiagnosisP0,KG모빌리티(쌍용),Others,Others,오토,가솔린,87922.0,890.0,일반,충북,10,10
41592161,,EncarDiagnosisP0,기아,올 뉴 K7,2.4 GDI 프레스티지,오토,가솔린,110456.0,1120.0,일반,충북,7,10
41592316,,EncarDiagnosisP0,기아,K3,럭셔리,오토,가솔린,125658.0,570.0,일반,충북,4,11
40864656,,EncarDiagnosisP0,KG모빌리티(쌍용),렉스턴 스포츠,디젤 2.2 4WD,오토,디젤,64128.0,1680.0,일반,충북,1,7
41206241,,EncarDiagnosisP0,기아,올 뉴 카니발,9인승 프레스티지,오토,디젤,113549.0,1280.0,일반,충북,2,9
40972448,,EncarDiagnosisP0,현대,그랜드 스타렉스,Others,오토,디젤,107172.0,1080.0,일반,충북,7,11
40865012,,EncarDiagnosisP0,기아,레이,프레스티지,오토,가솔린,80589.0,870.0,일반,충북,9,11
41899389,,EncarDiagnosisP0,현대,그랜저 IG,2.4 프리미엄,오토,가솔린,106117.0,1680.0,일반,충북,2,7
41753787,,EncarDiagnosisP0,기아,셀토스,가솔린 1.6 터보 2WD,오토,가솔린,51776.0,1780.0,일반,충북,9,6
41206076,,EncarDiagnosisP0,기아,레이,럭셔리,오토,가솔린,108850.0,750.0,일반,충북,8,11
40972667,,EncarDiagnosisP0,기아,Others,Others,오토,디젤,126008.0,850.0,일반,충북,4,12
39924306,,EncarDiagnosisP0,기아,Others,Others,오토,가솔린,121798.0,660.0,일반,충북,5,12
41910520,,,기아,카니발 4세대,9인승 프레스티지,오토,디젤,71768.0,2090.0,일반,경기,3,5
41867908,,EncarDiagnosisP1,현대,아반떼 (CN7),1.6,오토,가솔린,25485.0,1810.0,일반,경기,1,3
41644438,,EncarDiagnosisP1,기아,카니발 4세대,가솔린 7인승 시그니처,오토,가솔린,108668.0,2590.0,일반,경기,2,3
41648414,,EncarDiagnosisP2,현대,그랜저 (GN7),3.5 가솔린 2WD,오토,가솔린,55840.0,2780.0,일반,경기,4,3
41900445,,EncarDiagnosisP1,기아,K5 3세대,2.0,오토,가솔린,14653.0,3011.0,일반,경기,6,3
41792319,EncarMeetgo,EncarDiagnosisP1,기아,Others,Others,오토,가솔린,91281.0,2490.0,일반,서울,12,8
41919532,EncarMeetgo,EncarDiagnosisP1,KG모빌리티(쌍용),Others,Others,오토,디젤,125964.0,520.0,일반,서울,1,13
41595103,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 4WD,오토,가솔린,25958.0,3010.0,일반,서울,4,4
41594638,EncarMeetgo,EncarDiagnosisP1,기아,쏘렌토 4세대,가솔린 2.5T 2WD,오토,가솔린,55410.0,2600.0,일반,서울,6,4
41552907,EncarMeetgo,EncarDiagnosisP1,기아,쏘렌토 4세대,가솔린 2.5T 2WD,오토,가솔린,45630.0,3140.0,일반,서울,5,3
41554354,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 4WD,오토,가솔린,84252.0,3470.0,일반,서울,1,4
41661692,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,7인승 시그니처,오토,디젤,79063.0,3150.0,일반,경기,3,4
41695687,EncarMeetgo,EncarDiagnosisP1,현대,아반떼 (CN7),1.6,오토,가솔린,38142.0,2050.0,일반,서울,2,4
41702121,EncarMeetgo,EncarDiagnosisP2,기아,스포티지 5세대 하이브리드,Others,오토,가솔린+전기,41930.0,2840.0,일반,경기,9,4
