Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Year,Mileage,Price,SellType,OfficeCityState
41594810,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,디젤 2.2 4WD,오토,디젤,201812.0,113126.0,2590.0,일반,경기
41679966,EncarMeetgo,EncarDiagnosisP2,쉐보레(GM대우),트레일블레이저,1.3 터보 2WD,오토,가솔린,202207.0,32688.0,2600.0,일반,경기
42012985,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,202304.0,15434.0,3309.0,일반,서울
41838482,EncarMeetgo,EncarDiagnosisP1,현대,그랜저 하이브리드 (GN7),캘리그래피,오토,가솔린+전기,202401.0,31969.0,3930.0,일반,서울
42012992,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 프레스티지,오토,디젤,202104.0,21045.0,3109.0,일반,서울
42012990,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 (DN8),2.0,오토,가솔린,202205.0,68436.0,2509.0,일반,서울
40951159,,EncarDiagnosisP0,KG모빌리티(쌍용),토레스,가솔린 1.5 2WD,오토,가솔린,202209.0,52692.0,2180.0,일반,부산
41859244,,EncarDiagnosisP0,르노코리아(삼성),더 뉴 QM6,2.0 LPe LE 시그니처 2WD,오토,LPG(일반인 구입),202208.0,40670.0,1850.0,일반,부산
41592586,,EncarDiagnosisP0,제네시스,GV80,3.0 디젤 AWD,오토,디젤,202009.0,54859.0,5150.0,일반,부산
41640351,,EncarDiagnosisP0,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,202005.0,84749.0,2270.0,일반,부산
41834116,,EncarDiagnosisP0,현대,싼타페 더 프라임,디젤 2.0 2WD,오토,디젤,201606.0,89260.0,1260.0,일반,부산
41970254,,EncarDiagnosisP0,현대,팰리세이드 (LX3),HEV 2.5T 2WD 7인승,오토,가솔린+전기,202505.0,6635.0,6190.0,일반,부산
41640329,,EncarDiagnosisP0,기아,올 뉴 카니발,9인승 프레스티지,오토,디젤,201801.0,90090.0,1490.0,일반,부산
41585316,,EncarDiagnosisP1,현대,팰리세이드,디젤 2.2 4WD,오토,디젤,201812.0,113126.0,2590.0,일반,경기
41633483,,EncarDiagnosisP0,기아,K5 3세대,1.6 터보,오토,가솔린,202201.0,41231.0,2790.0,일반,서울
41637855,,EncarDiagnosisP0,기아,카니발 4세대,9인승 노블레스,오토,디젤,202304.0,60820.0,2990.0,일반,서울
41679965,,EncarDiagnosisP2,쉐보레(GM대우),트레일블레이저,1.3 터보 2WD,오토,가솔린,202207.0,32688.0,2600.0,일반,경기
42006979,,EncarDiagnosisP1,현대,쏘나타 (DN8),2.0,오토,가솔린,202205.0,68436.0,2509.0,일반,서울
42006987,,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,202304.0,15434.0,3309.0,일반,서울
42006985,,EncarDiagnosisP1,기아,카니발 4세대,9인승 프레스티지,오토,디젤,202104.0,21045.0,3109.0,일반,서울
41836058,,EncarDiagnosisP1,현대,그랜저 하이브리드 (GN7),캘리그래피,오토,가솔린+전기,202401.0,31969.0,3930.0,일반,서울
41793703,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 노블레스,오토,디젤,202203.0,62381.0,2850.0,일반,경기
41944330,EncarMeetgo,EncarDiagnosisP1,기아,K8,2.5 가솔린 2WD,오토,가솔린,202303.0,74747.0,2290.0,일반,서울
41695622,EncarMeetgo,EncarDiagnosisP2,기아,카니발 4세대,9인승 시그니처,오토,디젤,202303.0,59792.0,3300.0,일반,경기
41695963,EncarMeetgo,EncarDiagnosisP2,KG모빌리티(쌍용),토레스 EVX,E7,오토,전기,202402.0,16202.0,3498.0,일반,경기
41987859,EncarMeetgo,EncarDiagnosisP2,기아,더 뉴 EV6,롱레인지 2WD,오토,전기,202503.0,8441.0,3980.0,일반,경기
41726267,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 4WD,오토,가솔린,202202.0,80313.0,2570.0,일반,경기
41877002,EncarMeetgo,EncarDiagnosisP1,기아,디 올 뉴 니로,프레스티지,오토,가솔린+전기,202204.0,57864.0,2320.0,일반,경기
41835961,EncarMeetgo,EncarDiagnosisP1,현대,아반떼 하이브리드 (CN7),인스퍼레이션,오토,가솔린+전기,202303.0,41940.0,2120.0,일반,경기
41516884,EncarMeetgo,EncarDiagnosisP2,기아,쏘렌토 4세대,HEV 1.6 4WD,오토,가솔린+전기,202303.0,42380.0,3720.0,일반,경기
41599105,EncarMeetgo,EncarDiagnosisP1,현대,싼타페 TM,디젤 2.0 2WD,오토,디젤,201810.0,109133.0,1760.0,일반,광주
41918660,EncarMeetgo,EncarDiagnosisP1,제네시스,GV80,2.5T 가솔린 AWD,오토,가솔린,202205.0,52695.0,4390.0,일반,경기
41518157,EncarMeetgo,EncarDiagnosisP2,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,202203.0,64008.0,3120.0,일반,경기
41516178,EncarMeetgo,EncarDiagnosisP2,기아,카니발 4세대,가솔린 7인승 노블레스,오토,가솔린,202207.0,65253.0,3350.0,일반,경기
41409741,,,현대,더 뉴 아반떼,1.6 GDi 스마트,오토,가솔린,201310.0,159476.0,440.0,일반,광주
41939073,,EncarDiagnosisP1,기아,K8,2.5 가솔린 2WD,오토,가솔린,202303.0,74747.0,2290.0,일반,서울
41987852,,EncarDiagnosisP2,기아,더 뉴 EV6,롱레인지 2WD,오토,전기,202503.0,8441.0,3980.0,일반,경기
41695618,,EncarDiagnosisP2,기아,카니발 4세대,9인승 시그니처,오토,디젤,202303.0,59792.0,3300.0,일반,경기
41695960,,EncarDiagnosisP2,KG모빌리티(쌍용),토레스 EVX,E7,오토,전기,202402.0,16202.0,3498.0,일반,경기
41790677,,EncarDiagnosisP1,기아,카니발 4세대,9인승 노블레스,오토,디젤,202203.0,62381.0,2850.0,일반,경기
41338779,,,현대,더 뉴 아반떼 (CN7),1.6,오토,가솔린,202312.0,11996.0,2070.0,일반,서울
41000002,,EncarDiagnosisP0,쉐보레(GM대우),리얼 뉴 콜로라도,3.6 익스트림 4WD,오토,가솔린+LPG,202109.0,46483.0,3100.0,일반,부산
41895584,EncarMeetgo,EncarDiagnosisP1,기아,K5 3세대,2.0,오토,가솔린,202106.0,80392.0,1560.0,일반,경기
41946764,EncarMeetgo,EncarDiagnosisP1,기아,셀토스,가솔린 1.6 터보 2WD,오토,가솔린,201908.0,57601.0,1829.0,일반,인천
41849651,EncarMeetgo,EncarDiagnosisP1,KG모빌리티(쌍용),G4 렉스턴,디젤 2.2 4WD,오토,디젤,201711.0,139275.0,1349.0,일반,인천
41979977,EncarMeetgo,EncarDiagnosisP1,르노코리아(삼성),QM6,디젤 2WD RE 시그니처,오토,디젤,201611.0,144026.0,949.0,일반,인천
41914073,EncarMeetgo,EncarDiagnosisP1,기아,스포티지 더 볼드,디젤 2.0 2WD,오토,디젤,201902.0,100210.0,1589.0,일반,인천
41836663,EncarMeetgo,EncarDiagnosisP1,현대,그랜드 스타렉스,12인승 왜건,오토,디젤,201706.0,106508.0,1099.0,일반,인천
41834959,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 K9 2세대,3.3 T-GDI AWD,오토,가솔린,202206.0,94598.0,3930.0,일반,경기
41972786,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 (DN8),2.0,오토,가솔린,202301.0,49278.0,1900.0,일반,서울
41835348,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,202206.0,82541.0,2260.0,일반,경기
41864115,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 카니발 4세대,가솔린 7인승 시그니처,오토,가솔린,202410.0,14762.0,4560.0,일반,서울
41871210,EncarMeetgo,EncarDiagnosisP2,기아,K8 하이브리드,시그니처,오토,가솔린+전기,202204.0,61464.0,2860.0,일반,경기
41834959,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 K9 2세대,3.3 T-GDI AWD,오토,가솔린,202206.0,94598.0,3930.0,일반,경기
41972786,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 (DN8),2.0,오토,가솔린,202301.0,49278.0,1900.0,일반,서울
41512323,EncarMeetgo,EncarDiagnosisP2,현대,싼타페 (MX5),HEV 1.6 2WD,오토,가솔린+전기,202311.0,16606.0,3920.0,일반,경기
41516883,,EncarDiagnosisP2,기아,쏘렌토 4세대,HEV 1.6 4WD,오토,가솔린+전기,202303.0,42380.0,3720.0,일반,경기
41518156,,EncarDiagnosisP2,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,202203.0,64008.0,3120.0,일반,경기
41516177,,EncarDiagnosisP2,기아,카니발 4세대,가솔린 7인승 노블레스,오토,가솔린,202207.0,65253.0,3350.0,일반,경기
41907975,,EncarDiagnosisP1,제네시스,GV80,2.5T 가솔린 AWD,오토,가솔린,202205.0,52695.0,4390.0,일반,경기
41726262,,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 4WD,오토,가솔린,202202.0,80313.0,2570.0,일반,경기
41831770,,EncarDiagnosisP1,현대,아반떼 하이브리드 (CN7),인스퍼레이션,오토,가솔린+전기,202303.0,41940.0,2120.0,일반,경기
41595661,,EncarDiagnosisP1,현대,싼타페 TM,디젤 2.0 2WD,오토,디젤,201810.0,109133.0,1760.0,일반,광주
41868486,,EncarDiagnosisP1,기아,디 올 뉴 니로,프레스티지,오토,가솔린+전기,202204.0,57864.0,2320.0,일반,경기
41820998,,,쉐보레(GM대우),크루즈,1.8 LT+,오토,가솔린,201103.0,106656.0,290.0,일반,경기
42010768,,,쉐보레(GM대우),더 뉴 스파크,프리미어,오토,가솔린,201807.0,65816.0,750.0,일반,경기
41920810,,,기아,더 뉴 K3 2세대,1.6,오토,가솔린,202309.0,41533.0,1740.0,일반,경기
41761037,EncarMeetgo,EncarDiagnosisP2,쉐보레(GM대우),트레일블레이저,1.3 터보 2WD,오토,가솔린,202008.0,52821.0,1595.0,일반,경기
41979260,EncarMeetgo,EncarDiagnosisP2,현대,캐스퍼,터보 인스퍼레이션,오토,가솔린,202211.0,51536.0,1655.0,일반,경기
