Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Mileage,Price,SellType,OfficeCityState,Model_Month,Vehicle_Age
41855966,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,45978.0,2820.0,일반,서울,11,4
41886143,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,Others,오토,가솔린,97994.0,2911.0,일반,경기,9,5
41944247,EncarMeetgo,EncarDiagnosisP1,KG모빌리티(쌍용),Others,가솔린 1.5 2WD,오토,가솔린,24689.0,1980.0,일반,서울,10,4
41944248,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 (DN8),1.6 터보,오토,가솔린,109511.0,1900.0,일반,서울,4,4
41944250,EncarMeetgo,EncarDiagnosisP1,제네시스,GV70,Others,오토,디젤,81516.0,3410.0,일반,서울,4,5
41844639,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,가솔린 9인승 노블레스,오토,가솔린,38069.0,2990.0,일반,서울,3,3
41944244,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,35349.0,4980.0,일반,서울,3,2
41944252,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 카니발 4세대,Others,오토,가솔린+전기,64251.0,3340.0,일반,서울,1,2
41944255,EncarMeetgo,EncarDiagnosisP1,현대,아반떼 (CN7),1.6,오토,가솔린,33944.0,2100.0,일반,서울,2,4
41944259,EncarMeetgo,EncarDiagnosisP1,제네시스,GV80,Others,오토,가솔린,91066.0,4040.0,일반,서울,2,4
41903433,EncarMeetgo,EncarDiagnosisP1,기아,K5 3세대,2.0 LPI(렌터카용),오토,LPG(일반인 구입),54621.0,1680.0,일반,경기,12,4
41792560,EncarMeetgo,EncarDiagnosisP1,기아,K8,2.5 가솔린 2WD,오토,가솔린,25182.0,2470.0,일반,경기,4,3
41972713,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 프레스티지,오토,디젤,61259.0,2230.0,일반,서울,6,4
41972711,EncarMeetgo,EncarDiagnosisP1,현대,아반떼 (CN7),1.6,오토,가솔린,66929.0,1560.0,일반,서울,4,4
41793658,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,120771.0,2840.0,일반,경기,6,4
41938518,EncarMeetgo,EncarDiagnosisP1,현대,코나 (SX2),가솔린 1.6 터보 2WD,오토,가솔린,53777.0,2200.0,일반,경기,4,3
41172819,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 3.5 터보 AWD,오토,가솔린,90187.0,4090.0,일반,대구,1,4
40850499,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,77467.0,3230.0,일반,대구,8,3
42005401,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,86818.0,2630.0,일반,대구,11,5
41731982,EncarMeetgo,EncarDiagnosisP1,KG모빌리티(쌍용),더 뉴 렉스턴 스포츠 칸,디젤 2.2 4WD,오토,디젤,17639.0,3470.0,일반,대구,5,2
41939052,,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,35349.0,4980.0,일반,서울,3,2
41939053,,EncarDiagnosisP1,KG모빌리티(쌍용),Others,가솔린 1.5 2WD,오토,가솔린,24689.0,1980.0,일반,서울,10,4
41790351,,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,120771.0,2840.0,일반,경기,6,4
41939058,,EncarDiagnosisP1,현대,쏘나타 (DN8),1.6 터보,오토,가솔린,109511.0,1900.0,일반,서울,4,4
41875980,,EncarDiagnosisP1,현대,팰리세이드,Others,오토,가솔린,97994.0,2911.0,일반,경기,9,5
41939079,,EncarDiagnosisP1,기아,더 뉴 카니발 4세대,Others,오토,가솔린+전기,64251.0,3340.0,일반,서울,1,2
41790489,,EncarDiagnosisP1,기아,K8,2.5 가솔린 2WD,오토,가솔린,25182.0,2470.0,일반,경기,4,3
